Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters
P1194 - Most Precious Blood Church,1,11888032,0.321905653964918,1,0,0,-117.071285011078487,32.607825971107161,0.000000000000000,1.950091566576396
P1476 - SP: SIATECH South Bay,1,11877456,0.455326015968220,2,0,0,-117.092212777140034,32.607354417676255,0.000000000000000,5.177807551115731
P1630 - South Bay Food Pantry,1,11878177,0.441155567061810,1,0,0,-117.083250684136900,32.614842476212246,0.000000000000000,0.329233924795238
P2075 - SP: Castle Park Middle,1,11889428,0.365966731779226,2,0,0,-117.059391711592141,32.604923618461370,0.000000000000000,6.491421061718953
P2195 - BP: Hazel Cook Elementary,1,11891655,0.429271243327668,2,0,0,-117.056350705944851,32.626145236510304,0.000000000000000,5.520602723695917
P2268 - SP: Loma Verde Elementary,1,11889507,0.734580434180210,1,0,0,-117.048911339317129,32.601205943174818,0.000000000000000,1.662549824672924
P2350 - BP: Palomar High School,1,11887770,0.694849348614391,1,0,0,-117.073801087160021,32.604734131490247,0.000000000000000,6.307214650354256
P2103 - Rock Church- Chula Vista,1,12013070,0.123593836484581,1,0,0,-116.967933947221269,32.621159525807379,0.000000000000000,3.130608970327571
P1365 - MP: Descanso,1,14433449,0.562572560081788,1,0,0,-116.614296098145132,32.858833298733970,0.000000000000000,5.667543111521912
P1366 - MP: Guatay,1,14433111,0.176101962460485,2,0,0,-116.556716586031968,32.848789040233740,0.000000000000000,5.827843471986274
P1511 - SP: Bayside STEAM,1,11838618,0.549168831081653,1,0,0,-117.113051999999982,32.588259428000072,0.000000000000000,7.783556986378700
P2077 - Project 1:1,1,11838656,0.155214607155447,1,0,0,-117.114217948108816,32.585026146075002,0.000000000000000,9.943554951266737
P2131 - Imperial Beach Neighborhood Center,1,11837887,0.322902425974780,1,0,0,-117.123470526757984,32.583927692008707,0.000000000000000,5.787404251125886
P1541 - MP: Jacumba,1,14431567,0.956981079437903,1,0,0,-116.187308679348376,32.617673534278907,0.000000000000000,6.429200415761463
P2151 - PP: Jacumba,1,14431567,0.956981079437903,1,0,0,-116.187308679348376,32.617673534278907,0.000000000000000,6.429200415761463
P1238 - Jamul Community Church,1,12026090,0.219928652425615,2,0,0,-116.840550206291596,32.730058689507253,0.000000000000000,6.515033883465025
P1155 - Emmanuel Family Homes Inc.,1,12167610,0.319693189513995,1,0,0,-116.976849574173812,32.767971853777233,0.000000000000000,6.504627028596816
P1019 - Our Church,1,12087559,0.604960082079640,1,0,0,-117.007909532597267,32.770796791937002,0.000000000000000,0.630434968783946
P1461 - Journey Community Church,1,12086080,0.846303703718937,1,0,0,-117.019042999999954,32.773924255000054,0.000000000000000,5.439837202109151
P1550 - San Diego Military Outreach Ministries (MEM),1,11940054,0.331527047815240,2,0,0,-117.042628232033977,32.759900182729510,0.000000000000000,7.366800658101299
P1036 - Samoa/Lutheran Feeding Ministry,1,11940418,0.603628202477496,1,0,0,-117.026833380320127,32.727619821327487,0.000000000000000,5.354481438845777
P1325 - SP: Lemon Grove Academy,1,11940799,0.417501431753466,2,0,0,-117.028199946920410,32.741929385174608,0.000000000000000,5.635577018387071
P1512 - Greater Life Baptist Church,1,11930534,0.614748958272386,2,0,0,-117.077756875037608,32.715390066196008,0.000000000000000,4.570900552654220
P2152 - North Park Apostolic Church,1,11940561,0.033103054641140,2,0,0,-117.033036670790437,32.732793703916649,0.000000000000000,1.478501056564008
P2243 - Christian Church of Lemon Grove,1,11936637,0.106633980327800,2,0,0,-117.047852815383209,32.735173095725507,0.000000000000000,5.608262585507529
P2340 - Us 4 Warriors (MEM),1,11940886,0.759114513392334,1,0,0,-117.030742559245653,32.737728746335442,0.000000000000000,0.095041647553444
P1006 - San Diego Rescue Mission Warehouse,1,11885001,0.059463353529441,1,0,0,-117.098023428315699,32.661103358220949,0.000000000000000,6.109337429565656
P1064 - Friendships for Hope,1,11928663,0.548254741579690,2,0,0,-117.078954239579218,32.684611819111581,0.000000000000000,7.158472287322246
P1177 - Southport Christian Center,1,11885427,0.441605238394848,1,0,0,-117.102727942181573,32.669389116624885,0.000000000000000,10.945893362579994
P2073 - Operation Promise Community Services,1,11895340,0.604579533945189,1,0,0,-117.081054203825687,32.637150540587676,0.000000000000000,6.341493243281723
P2115 - Ministry of Jerusalem Inc.,1,11885037,0.572688306735916,2,0,0,-117.096937071659084,32.661885491266666,0.000000000000000,7.568204050797226
P1538 - MP: Potrero,1,14424872,0.550418590170703,2,0,0,-116.613359062976258,32.614148618386892,0.000000000000000,7.449713306220417
P1008 - Santa Sophia Conference,1,12020934,0.913071006922857,2,0,0,-116.987348351580380,32.748770835276673,0.000000000000000,5.418207545068681
P1017 - LJC Ministries Inc.,1,11934042,0.306868772154748,1,0,0,-117.003009613625409,32.704301316180505,0.000000000000000,6.562692863589222
P1295 - Paradise Valley SDA,1,11934526,0.339358661866642,1,0,0,-117.009919236243135,32.714790416268436,0.000000000000000,6.090086045720566
P1404 - SP: Kempton Street Academy,1,11934140,0.313480882148400,2,0,0,-117.001845627282876,32.710283666478880,0.000000000000000,5.198699932758503
P2104 - PP: Spring Valley,1,11944366,0.652156757169061,1,0,0,-116.994781362796132,32.749445535507185,0.000000000000000,6.489333452383179
P1125 - Heaven's Windows,1,12020004,0.771053011500919,1,0,0,-116.969042676021957,32.729449403466880,0.000000000000000,7.016365547398673
P1411 - MP: Bonsall,1,13483682,0.018725722776691,2,0,0,-117.218432581536177,33.299990901854279,0.000000000000000,12.672655273859144
P1347 - MP: Borrego Springs,1,14722453,0.325709017221995,1,0,0,-116.379568137793314,33.251943458764522,0.000000000000000,6.759325625016934
P1413 - SP: Borrego Springs HS,1,14721832,0.392990808804105,1,0,0,-116.403969992998441,33.256482877233857,0.000000000000000,0.268818373920728
P2246 - PP: Carlsbad,1,13411886,0.144069910864587,1,0,0,-117.326890699950056,33.180079101923162,0.000000000000000,0.644603815847347
P2183 - Community Housingworks- La Costa Paloma,1,12129150,0.881969543339264,1,0,0,-117.264665525846567,33.104144181255300,0.000000000000000,6.125579805473497
P1565 - Interfaith Community Services - Carlsbad,1,13408851,0.727228439417806,1,0,0,-117.272112549927584,33.138497849006221,0.000000000000000,7.284184330250386
P2064 - Equation Collaborative,1,13408809,0.056398152553817,2,0,0,-117.272482201279942,33.140065376045172,0.000000000000000,4.669631276020808
P1097 - El Cajon Seventh Day Adventist (SDA),1,12178014,0.539722783041823,2,0,0,-116.921601835599432,32.800196907944589,0.000000000000000,7.056802330036785
P1392 - SP: Lexington Elementary,1,12175088,0.078843777547366,1,0,0,-116.942083568999976,32.791306000000077,0.000000000000000,5.821640337208718
P1450 - Meridian Baptist Church,1,12177524,0.466813909771127,2,0,0,-116.926931932986719,32.788220562148943,0.000000000000000,6.526116237013569
P1560 - Cuyamaca College (MEM),1,12023390,0.513520406067132,2,0,0,-116.939211526419427,32.746276967159147,0.000000000000000,1.567467006782306
P2081 - Holy Trinity Church,1,12175156,0.082705777649571,2,0,0,-116.941352999999992,32.791222401000027,0.000000000000000,5.675506503269662
P2240 - Shadow Mountain Cares,1,12188643,0.109519769216937,2,0,0,-116.904733694366143,32.800849492859378,0.000000000000000,3.879282924236870
"P1040 - McAlister, Inc.",1,12179844,0.700997907372784,2,0,0,-116.971097618970475,32.814294349192352,0.000000000000000,2.809762891899310
P1410 - San Ysidro Health: MCHC (MEM),1,12169170,0.847564020469879,1,0,0,-116.958619547660390,32.781273930402165,0.000000000000000,2.534245923591005
P1518 - Bethlehem Food Pantry,1,12168766,0.349285360903015,1,0,0,-116.970903017215349,32.786368516275139,0.000000000000000,7.220663684908640
P2041 - Rock Church- El Cajon,1,12170441,0.511286399332292,2,0,0,-116.973361169975647,32.806010753613236,0.000000000000000,7.758565848474101
P2245 - PP: El Cajon,1,12091610,0.713776055466139,2,0,0,-117.006329911832637,32.813628077181647,0.000000000000000,2.329974630027882
P1052 - East County Trans. Living Ctr,1,12178178,0.375127455895844,2,0,0,-116.926003685109677,32.804364604479645,0.000000000000000,2.950886280080101
P1076 - Salvation Army El Cajon,1,12175198,0.124600677267745,1,0,0,-116.947294285909038,32.794890462300380,0.000000000000000,3.091411300088404
P1105 - CRF Halcyon Center,1,12178218,0.909620715283618,1,0,0,-116.918624973556405,32.807713970667116,0.000000000000000,6.827139973042692
P1549 - Risinghope,1,12027670,0.285319382861894,1,0,0,-116.675141653666429,32.764205869619353,0.000000000000000,0.000000000000000
P2037 - SP: El Cajon Valley High,1,12176205,0.585645549328965,1,0,0,-116.947607969999979,32.800182500000062,0.000000000000000,5.359539995891624
P2312 - Floodwaters AAA,1,12175790,0.257813366720154,1,0,0,-116.936821194343111,32.795049237126257,0.000000000000000,1.217126954030016
P1091 - Community Resource Center (CRC),1,12121080,0.107617993951332,1,0,0,-117.294521185721976,33.043923402104902,0.000000000000000,7.045913679156745
P1101 - St. Andrews Episcopal Church,1,12122208,0.117543775445590,1,0,0,-117.268450975506695,33.040267052795194,0.000000000000000,7.263694319674114
P2091 - Venture Church (#LoveThe760),1,12121854,0.491645947995246,1,0,0,-117.275542549218699,33.036268734988610,0.000000000000000,6.252555887247079
P1079 - Interfaith Community Services - Escondido,1,13459500,0.513919805016922,1,0,0,-117.090977067537708,33.124761843875646,0.000000000000000,4.768212083713153
P1427 - The Fellowship Center,1,13467859,0.988911109634320,1,0,0,-117.072331720177857,33.125087276204432,0.000000000000000,5.771775261612018
P1434 - AVID Behavioral Day Program,1,13459074,0.192893031640991,2,0,0,-117.087803931647400,33.118496715836827,0.000000000000000,6.959489133190144
P1446 - Villa Escondido (MEM),1,13467129,0.543635964761288,1,0,0,-117.075291797271149,33.124215182086665,0.000000000000000,2.146342594399435
P2079 - SP: San Pasqual High,1,13472654,0.305417756273691,2,0,0,-117.033025085261329,33.150020332149737,0.000000000000000,0.134409186960364
P2122 - Neighborhood Healthcare (MEM),1,13467822,0.133133501300437,1,0,0,-117.071415931168232,33.128722659350153,0.000000000000000,7.532912490072660
P2225 - SP: Boyce Child Development Center,1,12160735,0.699772157667026,1,0,0,-117.086113781778892,33.109588289654212,0.000000000000000,4.947645806423010
P2244 - PP: Escondido,1,12165977,0.833793291589175,1,0,0,-117.061107102385023,33.108162193833678,0.000000000000000,6.651557452346226
P1082 - Salvation Army Escondido,1,13462671,0.214253456997408,1,0,0,-117.093409587207759,33.138168687344027,0.000000000000000,0.355613282619509
P1441 - SP: Escondido High School,1,13463288,0.663085354848566,1,0,0,-117.090173531634704,33.143981719411457,0.000000000000000,7.318206861615582
P2206 - BP: Orange Glen Elementary,1,13461345,0.605907883556643,1,0,0,-117.087915324079773,33.133432228741370,0.000000000000000,6.408795788422878
P2226 - SP: Clothier Child Development Center,1,13467962,0.407942708233196,2,0,0,-117.080797852400394,33.135651170656928,0.000000000000000,6.555807232836255
P2349 - San Diego Christian Center (The Center),1,13461876,0.209442170360919,2,0,0,-117.105455030614763,33.138607688792987,0.000000000000000,7.810203162505424
P1448 - Foundry Food Pantry,1,13468151,0.243157809477949,1,0,0,-117.065810708718544,33.127827036695315,0.000000000000000,6.683394611725191
P1502 - SP: Orange Glen High School,1,13469749,0.976496126163083,2,0,0,-117.038043538070440,33.129447386701571,0.000000000000000,6.780007615251658
P1531 - SP: Valley High,1,13472601,0.767001828094133,1,0,0,-117.023289152638071,33.142156867430849,0.000000000000000,4.675430861707802
P1547 - Hidden Glenn Senior Living,1,13469039,0.156833686584546,2,0,0,-117.059920843334154,33.125209609162994,0.000000000000000,9.883874403999354
P2045 - Ruth Anointed World Ministries,1,13469865,0.489804494197475,1,0,0,-117.045075743423808,33.131993629731504,0.000000000000000,2.560838949013140
P2205 - BP: Conway Elementary,1,13470529,0.462047150176306,2,0,0,-117.075122323719469,33.148099373345346,0.000000000000000,6.379836514531556
P1412 - MP: Fallbrook,1,13494646,0.062841606161079,1,0,0,-117.157192913240408,33.354465626806075,0.000000000000000,0.425039169246154
P2332 - MP: Downtown Fallbrook,1,13490314,0.650563635421912,2,0,0,-117.253575556521767,33.381839403049469,0.000000000000000,5.538571887933893
P1285 - Mt. Manna (UMC of Julian),1,14435378,0.888970754927871,2,0,0,-116.618866297948841,33.078199243563255,0.000000000000000,58.586218686940690
P1445 - MP: Shelter Valley,1,14436340,0.818914380301581,2,0,0,-116.438225059145154,33.077910175974786,0.000000000000000,41.360701113197962
P1592 - BP: Julian Elementary School,1,14435668,0.870067927433484,2,0,0,-116.593386396400192,33.080447698200139,0.000000000000000,189.835978417997609
P2200 - PP: Butterfield,1,14436164,0.017858773562945,2,0,0,-116.456232534176507,33.007693639799875,0.000000000000000,7.466064361071284
P2204 - PP: Shelter Valley,1,14436340,0.818914380301581,2,0,0,-116.438225059145154,33.077910175974786,0.000000000000000,41.360701113197962
P2270 - MP: Butterfield,1,14436164,0.017858773562945,2,0,0,-116.456232534176507,33.007693639799875,0.000000000000000,7.466064361071284
P1535 - SP: The Preuss School,1,12049090,0.431083969100755,1,0,0,-117.222602977154452,32.882869356562139,0.000000000000000,26.972411007371065
P2006 - University of California San Diego (UCSD) (MEM),1,12047552,0.875271837781533,1,0,0,-117.236212656802905,32.876998498316297,0.000000000000000,22.235683547697043
P1124 - Lakeside Christian Helps Ctr,1,12193949,0.461178041339806,2,0,0,-116.929506938822527,32.856276884738918,0.000000000000000,6.689473803593553
P2119 - MP: Lakeside,1,12187881,0.218291672168559,1,0,0,-116.917783530015214,32.849549615792057,0.000000000000000,0.134409186960364
P1068 - Lifeline Community Services,1,13149680,0.165801917658162,2,0,0,-117.372173095826412,33.196205407084079,0.000000000000000,5.177807551115731
P1467 - Oceanside Sanctuary,1,13148917,0.628552981527874,2,0,0,-117.377205893280603,33.194579070799904,0.000000000000000,3.075298646285896
P2162 - PP: Crown Heights,1,13149680,0.165801917658162,2,0,0,-117.372173095826412,33.196205407084079,0.000000000000000,5.177807551115731
P2288 - PP: Camp Pendleton,1,13161782,0.000000000000000,2,0,0,-117.350179399999945,33.298658300000056,0.000000000000000,22.003116436328892
P1371 - MP: Vista,1,13437646,0.679458567504997,2,0,0,-117.291330453464198,33.205162210509037,0.000000000000000,6.157936034345470
P1436 - Vista Community Clinic (VCC) (MEM),1,13437646,0.679458567504997,2,0,0,-117.291330453464198,33.205162210509037,0.000000000000000,6.157936034345470
P1464 - Salvation Army Oceanside,1,13414616,0.701282500482615,2,0,0,-117.289389612838178,33.180173875903812,0.000000000000000,5.362067484829990
P1584 - MiraCosta Oceanside (OCN) (MEM),1,13412971,0.386498681324906,1,0,0,-117.301936621135525,33.187843292750998,0.000000000000000,25.875252185125742
P1491 - MP: Oceanside,1,13442544,0.241190996420349,2,0,0,-117.289782508152030,33.256006108807469,0.000000000000000,5.016542688775848
P2121 - Convicted4Christ Ministries,1,13441454,0.382833746222586,2,0,0,-117.316346965206009,33.250378428065574,0.000000000000000,2.746358285562376
P1028 - Brother Benno Foundation,1,13153965,0.506461855718077,2,0,0,-117.348584770319945,33.215242528240061,0.000000000000000,7.283564267739771
P1496 - MiraCosta Foundation CLC (MEM),1,13152637,0.525675773191830,2,0,0,-117.365433294682390,33.203524992322578,0.000000000000000,1.112433963633442
P1637 - North County LGBTQ,1,13153937,0.593236838390816,1,0,0,-117.347769501553728,33.213800500657840,0.000000000000000,0.355613282619509
P2252 - SP: Pablo Tac School of the Arts,1,13153098,0.069322262661937,2,0,0,-117.362896130699937,33.205698903456792,0.000000000000000,1.635158332340706
P2263 - PP: Bonnie Plants (CLOSED),1,13494905,0.256219927578177,2,0,0,-117.104186068604093,33.362020563860810,0.000000000000000,3.958801223272424
P2264 - MP: Bonnie Plants (CLOSED),1,13494905,0.256219927578177,2,0,0,-117.104186068604093,33.362020563860810,0.000000000000000,3.958801223272424
P1542 - MP: Pauma,1,13501783,0.207933878690016,1,0,0,-116.969301469357006,33.293602460561530,0.000000000000000,0.493850887192858
P2199 - PP: Pauma,1,13501783,0.207933878690016,1,0,0,-116.969301469357006,33.293602460561530,0.000000000000000,0.493850887192858
P1426 - The Community Food Connection,1,12151009,0.567261885351330,1,0,0,-117.026610023339941,32.978165113928824,0.000000000000000,1.028032600675557
P1043 - Restoration Ranch,1,12209250,0.898261720063404,2,0,0,-116.904835154699327,33.050969873579099,0.000000000000000,7.704824194379682
P1045 - In His Steps,1,12208464,0.183621473860640,1,0,0,-116.880043991592061,33.038272173285051,0.000000000000000,11.673884748878384
P1073 - Ramona Food & Clothes Closet,1,12209227,0.721490385349296,1,0,0,-116.864982312610465,33.044070656721068,0.000000000000000,3.163616532514323
P1482 - First Congregational Church of Ramona,1,12208960,0.988990772494122,1,0,0,-116.864530430107692,33.042597539938519,0.000000000000000,0.315217484391973
P1553 - Mountain View Community Church Ramona,1,12209665,0.672354920754086,2,0,0,-116.873092732081560,33.061309900984980,0.000000000000000,0.950416475534440
P2331 - MP: Ramona,1,12208814,0.883566039033297,1,0,0,-116.872929636583052,33.039613902599989,0.000000000000000,6.716425862000666
P2326 - MP: Ranchita,1,14721475,0.957326047638703,1,0,0,-116.525388384271210,33.210320970598175,0.000000000000000,8.719002850187643
P1236 - SP: San Marcos Elementary,1,13453267,0.768207519630370,2,0,0,-117.167966699999965,33.141315900000052,0.000000000000000,32.323942386570330
P1370 - MP: San Marcos,1,13464125,0.216908681061831,1,0,0,-117.150816091573020,33.179146524480132,0.000000000000000,7.135089883237816
P1429 - Summit Church,1,13452151,0.946436642039909,1,0,0,-117.158386214099494,33.133925176100028,0.000000000000000,3.788575137041748
P1438 - TrueCare San Marcos (MEM),1,13453991,0.901188317018224,1,0,0,-117.156475357231272,33.141585355123709,0.000000000000000,3.621573172747669
P1368 - MP: Julian,1,12212737,0.713080285120170,1,0,0,-116.646040485422759,33.094615958492611,0.000000000000000,20.363989888066445
P1644 - MP: Santa Ysabel,1,13501096,0.364260000676114,2,0,0,-116.648844175364516,33.141758073470868,0.000000000000000,7.263072507891981
P2203 - PP: Julian,1,12212737,0.686665187165445,1,0,0,-116.646040401222749,33.094636982185435,0.000000000000000,19.812023581696252
P1154 - Santee Food Bank,1,12192001,0.349276348603305,1,0,0,-116.993806937525648,32.855453345292325,0.000000000000000,7.741082390855840
P1418 - Vista Teen Outreach,1,13426149,0.929646602120271,1,0,0,-117.245625357372660,33.164652276999504,0.000000000000000,2.241048998111882
P1468 - North County Sober Living,1,13426396,0.273928532963508,1,0,0,-117.254218764585417,33.175637958435296,0.000000000000000,5.586476575554791
P2135 - SP: Joli-Ann Leichtag Elementary,1,13431358,0.763321740122862,1,0,0,-117.209840274480285,33.157261265653219,0.000000000000000,9.034457253138084
P1053 - SVdP St. Stephens,1,13479958,0.493031617945071,2,0,0,-117.023515747220188,33.276909070389841,0.000000000000000,7.405324136504172
P2329 - MP: Valley Center,1,13478321,0.112487562502702,2,0,0,-117.023642077601977,33.243222522303803,0.000000000000000,8.857759179916370
P2330 - PP: Valley Center,1,13478321,0.112487562502702,2,0,0,-117.023642077601977,33.243222522303803,0.000000000000000,8.857759179916370
P1219 - Gleaning Field Foundation,1,13426889,0.161887500701619,1,0,0,-117.218588836115600,33.162298631581102,0.000000000000000,2.253108541672217
P1551 - Casa Raphael,1,13430782,0.664210016374622,1,0,0,-117.230569848858750,33.191415765910577,0.000000000000000,5.595362596980539
P1557 - Choices in Recovery,1,13429724,0.142601959800243,2,0,0,-117.236931468649871,33.195011119859529,0.000000000000000,2.148445821356213
P2163 - Food For Life,1,13444964,0.413072709122272,2,0,0,-117.255874825131940,33.213984994509488,0.000000000000000,7.502874438814030
P2182 - Community Housingworks - Cedar,1,13415376,0.053788998382674,1,0,0,-117.283867959389013,33.189837356355696,0.000000000000000,4.404849705183877
P2237 - SP: Vista Innovation Early Education Center,1,13439100,0.824161471305059,2,0,0,-117.259388850358761,33.204687555975127,0.000000000000000,5.545906128915155
P1460 - Grace Presbyterian Church,1,13446928,0.945171316361362,2,0,0,-117.226194250072922,33.220426723181426,0.000000000000000,3.688301728862213
P1555 - Operation Hope,1,13445882,0.164658387796969,2,0,0,-117.233782922146233,33.210359769970580,0.000000000000000,0.911607458728768
P1563 - Faith Lutheran,1,13445698,0.725695706782094,1,0,0,-117.234818478298166,33.220709283057744,0.000000000000000,14.503118744831999
P2028 - Tricity Food Pantry,1,13429772,0.574156592087956,2,0,0,-117.240153118977346,33.200873836693155,0.000000000000000,5.388115446956469
P2185 - Community Housingworks- Santa Fe,1,13444225,0.138467922328800,2,0,0,-117.244572323557492,33.203396635862113,0.000000000000000,2.863893610255672
P2260 - PP: Vista,1,13448113,0.648459157921990,2,0,0,-117.233113593073057,33.228679804792840,0.000000000000000,6.081180236355791
P2257 - SP: Warner Elementary,1,13501514,0.605491559561968,1,0,0,-116.671010389726121,33.251483170301348,0.000000000000000,6.925660793524948
P1012 - Fallbrook Food Pantry,1,13490786,0.636969714468080,2,0,0,-117.243348072226951,33.384258737033733,0.000000000000000,6.258331921630994
P1499 - ASI of CSUSM (CalState San Marcos) (MEM),1,13451838,0.624397275774352,1,0,0,-117.165307493343903,33.126928884197568,0.000000000000000,2.237014703214738
P1543 - San Marcos Seventh Day Adventist,1,13454982,0.189145698244568,1,0,0,-117.135843243673250,33.143886501077695,0.000000000000000,0.268818373920728
P1009 - Third Avenue Charitable Organization (TACO),1,11905441,0.918082767957086,1,0,0,-117.162035173633811,32.720149636533314,0.000000000000000,7.300287469756024
P1165 - CRF Vista Balboa,1,11915876,0.285312349139095,2,0,0,-117.159895868013592,32.731375032660821,0.000000000000000,4.396639353767954
P1457 - Alpha Project,1,11905849,0.543256618136584,2,0,0,-117.151925770608713,32.711013875056651,0.000000000000000,6.474701340297963
P1508 - Salvation Army Centre City,1,11905081,0.464084890280398,1,0,0,-117.158347934434033,32.713921797776166,0.000000000000000,6.934133350244599
P1525 - People Assisting the Homeless (PATH),1,11905386,0.532629130403903,2,0,0,-117.159289304377424,32.718349723276724,0.000000000000000,7.175487034838947
P1552 - San Diego City College (MEM),1,11906038,0.710840337326754,2,0,0,-117.153711696268914,32.719228311639334,0.000000000000000,1.729131223696396
P1587 - Alpha Project- Luther Tower (MEM),1,11905484,0.226156811766152,1,0,0,-117.162946752072287,32.720460443521858,0.000000000000000,5.877232859027468
P1634 - Urban Street Angels,1,11905555,0.286683249805546,2,0,0,-117.160198578114390,32.720000137848878,0.000000000000000,7.130657560035743
P1090 - Turning Point Home,1,11907787,0.244064034930565,1,0,0,-117.140308479403998,32.719069805071896,0.000000000000000,6.199600982721538
P1146 - Stepping Higher Inc.,1,11939926,0.880477817877127,1,0,0,-117.039251397541520,32.756292533865064,0.000000000000000,1.041129085349539
P1503 - Masjidul Taqwa,1,11906921,0.104952393535322,2,0,0,-117.138629232895354,32.706303198280942,0.000000000000000,1.406487943268056
P1544 - San Diego Black Panther Party,1,11907232,0.404092312211293,2,0,0,-117.134547928703824,32.705493394307126,0.000000000000000,8.984326707205819
P2029 - Logan Heights CDC,1,11907318,0.470861617033459,1,0,0,-117.128651908345859,32.706399498497056,0.000000000000000,7.345311424253099
P2155 - Sherman Heights Community Center (MEM),1,11907464,0.635239655816443,2,0,0,-117.143511798867536,32.710475603835384,0.000000000000000,5.086282326055543
P1030 - Special Delivery San Diego,1,11875600,0.925309396519619,1,0,0,-117.171390368336048,32.750315377861362,0.000000000000000,5.914004226256231
P2346 - SP: Edison Elementary,1,11924860,0.627359314236677,1,0,0,-117.118067117040553,32.751131295951694,0.000000000000000,12.461696141387353
P1031 - City Heights Comm. Dev.Corp.,1,11923500,0.591078142954820,2,0,0,-117.100850939660262,32.728053203659812,0.000000000000000,0.570249885320664
P1038 - City Heights Assembly of God,1,11924953,0.703313758474408,1,0,0,-117.112896094999940,32.747843000000046,0.000000000000000,5.598590380691151
P1050 - Church of the Nazarene (MEM),1,11925439,0.922754125459567,1,0,0,-117.106930484379660,32.749612303487908,0.000000000000000,6.096016023800935
P1059 - St. Marks Episcopal Church,1,11926885,0.700020127929812,1,0,0,-117.100869339903355,32.753722044492591,0.000000000000000,9.303892853950554
P1065 - New Hope SDA,1,11924366,0.074968722669812,2,0,0,-117.083732403943102,32.731695999536726,0.000000000000000,7.556856963968532
P1116 - Bridge of Hope,1,11924217,0.154592119938665,1,0,0,-117.101046183967810,32.741216792755324,0.000000000000000,5.381405462476649
P1262 - La Maestra Community Health Centers (MEM),1,11926862,0.890018758788101,2,0,0,-117.100907983917423,32.750672527278468,0.000000000000000,3.886262149533123
P1397 - SP: NHA Head Start,1,11927220,0.168319363818407,1,0,0,-117.085754615360173,32.746182120676394,0.000000000000000,3.429410303552871
P1600 - A Partnership for a Better San Diego,1,11927608,0.340741856985279,2,0,0,-117.100863061465589,32.754015763705873,0.000000000000000,3.617829943661891
P1625 - UPAC (Union of Pan Asian Communities),1,11927403,0.059572553038595,2,0,0,-117.081620944430853,32.749132913208179,0.000000000000000,1.179435828915526
P2008 - SP: STARPAL - Colina del Sol Park,1,11937503,0.834861760304409,2,0,0,-117.079550146603225,32.751708586379443,0.000000000000000,0.896621109778764
P2080 - SP: Hamilton Elementary,1,11924017,0.927654542373477,1,0,0,-117.100974502999890,32.735273978189184,0.000000000000000,0.342677533558519
P2105 - Rock Church-City Heights,1,11926293,1.000000000000000,2,0,0,-117.107728299999962,32.754606000000024,0.000000000000000,19.615454048512273
P2126 - IRC (International Rescue Committee) Soft Landing,1,11937526,0.691153195924383,1,0,0,-117.080481131375649,32.749049091076799,0.000000000000000,1.337354524572774
